,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,"(450, 375, None, None)","(483.218, 378.147, None, None)","(540.163, 383.542, None, None)","(597.108, 388.937, None, None)","(639.817, 392.983, None, None)","(659.802, 402.002, None, None)","(710.782, 427.856, None, None)","(760.991, 455.259, None, None)","(810.448, 482.762, None, None)","(836.852, 530.052, None, None)","(814.138, 573.443, None, None)","(811.911, 601.73, None, None)","(801.743, 640.702, None, None)","(817.137, 654.947, None, None)","(771.772, 674.494, None, None)","(763.217, 673.844, None, None)","(721.504, 678.267, None, None)","(665.749, 678.699, None, None)","(613.061, 662.368, None, None)","(555.943, 665.43, None, None)","(500.194, 677.022, None, None)","(456.947, 688.743, None, None)","(417.956, 670.852, None, None)","(362.406, 676.307, None, None)","(307.476, 663.95, None, None)","(250.283, 664.502, None, None)","(193.136, 662.035, None, None)","(137.147, 665.851, None, None)","(118.865, 636.605, None, None)","(119.0, 586.079, None, None)","(116.098, 529.908, None, None)","(114.444, 472.769, None, None)","(118.133, 415.711, None, None)","(119.929, 392.901, None, None)","(119.929, 392.901, None, None)","(119.929, 392.901, None, None)","(119.929, 392.901, None, None)","(88.701, 389.086, None, None)","(100.698, 371.016, None, None)","(49.602, 387.954, None, None)",,,,,,,,,,,,,,,,,,,,,
0,"(458.683, 378.936, None, None)","(510.78, 402.553, None, None)","(562.876, 426.171, None, None)","(614.973, 449.788, None, None)","(667.07, 473.405, None, None)","(687.085, 495.166, None, None)","(715.731, 537.94, None, None)","(761.091, 569.814, None, None)","(770.589, 620.658, None, None)","(756.359, 627.981, None, None)","(761.285, 645.534, None, None)","(709.039, 668.819, None, None)","(653.252, 674.508, None, None)","(596.066, 673.241, None, None)","(538.88, 671.974, None, None)","(481.695, 670.671, None, None)","(424.511, 669.348, None, None)","(367.326, 668.024, None, None)","(310.141, 666.701, None, None)","(252.956, 665.378, None, None)","(195.772, 664.054, None, None)","(151.331, 645.849, None, None)","(134.389, 591.216, None, None)","(117.447, 536.582, None, None)","(100.506, 481.949, None, None)","(83.564, 427.315, None, None)","(42.264, 393.852, None, None)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"(450, 375, None, None)","(450.784, 374.457, None, None)","(475.866, 357.093, None, None)","(527.113, 355.926, None, None)","(583.713, 352.531, None, None)","(594.307, 327.183, None, None)","(638.027, 324.088, None, None)","(673.801, 303.319, None, None)","(717.211, 299.116, None, None)","(740.356, 290.247, None, None)","(750.604, 269.79, None, None)","(768.133, 265.226, None, None)","(771.893, 246.533, None, None)","(787.951, 233.042, None, None)","(790.81, 216.122, None, None)","(790.969, 215.182, None, None)","(807.643, 178.779, None, None)","(812.019, 149.551, None, None)","(816.533, 130.072, None, None)","(819.954, 117.172, None, None)","(831.685, 97.527, None, None)","(831.991, 74.65, None, None)","(831.991, 74.65, None, None)","(831.991, 74.65, None, None)","(792.222, 58.562, None, None)","(748.668, 52.018, None, None)","(726.775, 50.892, None, None)","(696.326, 49.02, None, None)","(696.326, 49.02, None, None)","(641.997, 47.904, None, None)","(584.81, 46.729, None, None)","(527.611, 46.381, None, None)","(470.412, 46.072, None, None)","(457.065, 46.001, None, None)","(420.839, 46.15, None, None)","(363.639, 46.385, None, None)","(306.44, 46.62, None, None)","(249.273, 47.801, None, None)","(206.684, 52.445, None, None)","(206.684, 52.445, None, None)","(206.684, 52.445, None, None)","(206.684, 52.445, None, None)","(206.553, 60.07, None, None)","(206.047, 89.619, None, None)","(153.718, 86.299, None, None)","(143.396, 108.983, None, None)","(136.094, 140.379, None, None)","(136.066, 197.579, None, None)","(132.903, 254.638, None, None)","(126.203, 311.395, None, None)","(118.102, 356.433, None, None)","(64.737, 357.953, None, None)","(28.525, 358.985, None, None)","(12.77, 355.186, None, None)",,,,,,,
0,"(462.383, 374.498, None, None)","(514.031, 391.605, None, None)","(561.469, 423.566, None, None)","(608.907, 455.526, None, None)","(634.452, 472.198, None, None)","(681.91, 503.648, None, None)","(735.566, 522.67, None, None)","(771.255, 535.672, None, None)","(774.476, 558.169, None, None)","(783.157, 603.548, None, None)","(762.143, 643.105, None, None)","(707.982, 655.708, None, None)","(650.794, 656.845, None, None)","(623.152, 656.598, None, None)","(565.988, 658.117, None, None)","(508.931, 662.152, None, None)","(451.875, 666.221, None, None)","(394.823, 670.329, None, None)","(337.771, 674.438, None, None)","(280.695, 678.105, None, None)","(223.519, 679.738, None, None)","(166.337, 681.167, None, None)","(140.557, 641.713, None, None)","(124.035, 587.058, None, None)","(104.137, 533.43, None, None)","(97.933, 477.784, None, None)","(96.057, 423.809, None, None)","(45.086, 397.851, None, None)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"(450, 375, None, None)","(450, 375, None, None)","(450, 375, None, None)","(450, 375, None, None)","(441.42, 375.051, None, None)","(384.221, 375.389, None, None)","(327.022, 375.728, None, None)","(269.823, 376.066, None, None)","(253.263, 364.846, None, None)","(302.079, 335.032, None, None)","(350.895, 305.219, None, None)","(405.572, 306.682, None, None)","(461.871, 316.797, None, None)","(503.358, 342.023, None, None)","(552.018, 372.091, None, None)","(604.716, 385.406, None, None)","(646.527, 382.038, None, None)","(679.681, 385.798, None, None)","(736.517, 392.244, None, None)","(747.065, 403.383, None, None)","(736.172, 425.648, None, None)","(736.172, 425.648, None, None)","(742.533, 437.381, None, None)","(750.711, 452.467, None, None)","(767.917, 492.804, None, None)","(779.768, 514.574, None, None)","(788.312, 546.794, None, None)","(796.276, 588.616, None, None)","(777.569, 614.384, None, None)","(767.326, 625.427, None, None)","(756.144, 662.142, None, None)","(698.97, 663.851, None, None)","(694.205, 663.994, None, None)","(661.793, 663.717, None, None)","(604.626, 662.193, None, None)","(547.504, 659.222, None, None)","(496.689, 685.2, None, None)","(441.534, 681.159, None, None)","(385.38, 670.268, None, None)","(356.87, 672.08, None, None)","(299.819, 676.205, None, None)","(250.826, 672.962, None, None)","(194.817, 661.352, None, None)","(159.135, 655.678, None, None)","(120.085, 654.004, None, None)","(119.205, 636.866, None, None)","(116.273, 579.741, None, None)","(113.341, 522.617, None, None)","(117.272, 466.138, None, None)","(124.708, 409.959, None, None)","(114.588, 392.468, None, None)","(57.921, 384.677, None, None)","(30.656, 380.114, None, None)",,,,,,,,
0,"(450, 375, None, None)","(488.09, 373.186, None, None)","(517.638, 373.261, None, None)","(574.836, 373.663, None, None)","(622.502, 373.997, None, None)","(669.798, 347.24, None, None)","(719.584, 319.076, None, None)","(747.796, 303.116, None, None)","(771.984, 266.537, None, None)","(772.51, 265.741, None, None)","(788.912, 244.682, None, None)","(783.335, 221.761, None, None)","(789.066, 202.503, None, None)","(795.683, 187.709, None, None)","(808.657, 140.852, None, None)","(784.791, 99.167, None, None)","(770.936, 97.533, None, None)","(731.928, 95.059, None, None)","(704.331, 93.401, None, None)","(653.854, 84.676, None, None)","(599.369, 88.688, None, None)","(551.982, 95.849, None, None)","(496.689, 95.998, None, None)","(462.408, 97.637, None, None)","(405.278, 99.012, None, None)","(353.862, 97.532, None, None)","(296.7, 99.628, None, None)","(240.563, 89.719, None, None)","(184.584, 77.963, None, None)","(160.763, 68.392, None, None)","(147.666, 114.531, None, None)","(144.914, 136.283, None, None)","(135.953, 192.749, None, None)","(129.919, 249.63, None, None)","(123.886, 306.511, None, None)","(106.997, 360.536, None, None)","(68.27, 369.975, None, None)","(24.173, 362.031, None, None)",,,,,,,,,,,,,,,,,,,,,,,
0,"(450, 375, None, None)","(450, 375, None, None)","(455.712, 375.31, None, None)","(512.827, 378.415, None, None)","(569.803, 382.749, None, None)","(626.155, 392.564, None, None)","(682.506, 402.379, None, None)","(731.344, 410.886, None, None)","(773.21, 447.005, None, None)","(778.263, 451.364, None, None)","(778.63, 453.235, None, None)","(787.989, 500.946, None, None)","(787.995, 523.826, None, None)","(788.0, 540.032, None, None)","(790.756, 579.977, None, None)","(774.027, 622.961, None, None)","(759.394, 636.623, None, None)","(729.43, 664.599, None, None)","(679.135, 669.432, None, None)","(642.125, 672.988, None, None)","(587.787, 673.329, None, None)","(530.588, 673.689, None, None)","(481.969, 673.994, None, None)","(447.651, 673.551, None, None)","(390.456, 672.813, None, None)","(333.261, 672.075, None, None)","(276.066, 671.336, None, None)","(218.873, 670.404, None, None)","(161.681, 669.458, None, None)","(130.66, 644.611, None, None)","(120.666, 588.291, None, None)","(114.868, 553.503, None, None)","(107.07, 496.837, None, None)","(100.771, 439.989, None, None)","(72.397, 398.387, None, None)","(51.478, 389.242, None, None)",,,,,,,,,,,,,,,,,,,,,,,,,
0,"(450, 375, None, None)","(467.936, 390.694, None, None)","(514.306, 416.254, None, None)","(566.918, 432.828, None, None)","(619.648, 454.663, None, None)","(674.055, 470.794, None, None)","(722.272, 497.413, None, None)","(741.899, 518.671, None, None)","(762.983, 564.273, None, None)","(782.975, 617.606, None, None)","(765.053, 653.951, None, None)","(715.579, 670.615, None, None)","(659.233, 661.802, None, None)","(602.175, 658.802, None, None)","(544.986, 659.904, None, None)","(487.797, 661.007, None, None)","(430.607, 662.109, None, None)","(373.418, 663.212, None, None)","(316.228, 664.314, None, None)","(259.039, 665.416, None, None)","(201.85, 666.519, None, None)","(144.66, 667.621, None, None)","(138.229, 612.55, None, None)","(133.548, 555.542, None, None)","(128.867, 498.534, None, None)","(124.187, 441.525, None, None)","(84.868, 408.711, None, None)","(32.955, 384.694, None, None)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"(450, 375, None, None)","(450, 375, None, None)","(450, 375, None, None)","(450, 375, None, None)","(494.726, 377.694, None, None)","(532.79, 379.987, None, None)","(532.79, 379.987, None, None)","(543.549, 373.836, None, None)","(565.895, 361.06, None, None)","(616.418, 338.593, None, None)","(642.451, 308.69, None, None)","(661.594, 296.158, None, None)","(670.367, 290.414, None, None)","(699.804, 259.207, None, None)","(716.609, 255.734, None, None)","(724.078, 254.191, None, None)","(743.144, 254.008, None, None)","(765.062, 254.614, None, None)","(778.404, 254.984, None, None)","(778.404, 254.984, None, None)","(775.06, 229.462, None, None)","(775.06, 229.462, None, None)","(780.903, 201.465, None, None)","(780.903, 201.465, None, None)","(783.582, 183.55, None, None)","(787.952, 154.322, None, None)","(787.952, 154.322, None, None)","(774.329, 121.786, None, None)","(773.308, 102.746, None, None)","(773.053, 97.986, None, None)","(773.053, 97.986, None, None)","(773.053, 97.986, None, None)","(773.053, 97.986, None, None)","(770.193, 97.988, None, None)","(739.686, 98.0, None, None)","(733.022, 97.645, None, None)","(675.903, 94.604, None, None)","(627.352, 92.019, None, None)","(599.745, 90.544, None, None)","(542.626, 87.491, None, None)","(496.931, 85.05, None, None)","(491.218, 85.317, None, None)","(434.08, 87.987, None, None)","(391.227, 89.989, None, None)","(338.023, 85.57, None, None)","(283.87, 81.072, None, None)","(266.727, 80.295, None, None)","(209.586, 77.706, None, None)","(182.292, 79.886, None, None)","(144.267, 88.936, None, None)","(111.672, 81.804, None, None)","(107.867, 83.867, None, None)","(87.64, 137.372, None, None)","(77.089, 161.875, None, None)","(54.354, 211.23, None, None)","(55.989, 263.638, None, None)","(53.378, 295.946, None, None)","(51.462, 317.788, None, None)","(48.1, 349.068, None, None)","(47.311, 352.798, None, None)","(46.128, 358.395, None, None)"
0,"(450, 375, None, None)","(450, 375, None, None)","(450.936, 374.821, None, None)","(507.121, 364.089, None, None)","(563.144, 367.026, None, None)","(619.061, 379.074, None, None)","(647.92, 388.736, None, None)","(701.323, 409.229, None, None)","(745.275, 444.304, None, None)","(753.378, 452.38, None, None)","(746.239, 480.074, None, None)","(746.239, 480.074, None, None)","(778.29, 492.345, None, None)","(779.18, 492.686, None, None)","(793.706, 520.592, None, None)","(795.906, 524.82, None, None)","(807.726, 565.067, None, None)","(805.026, 576.184, None, None)","(799.177, 600.271, None, None)","(794.357, 626.861, None, None)","(805.534, 631.606, None, None)","(802.129, 644.511, None, None)","(796.126, 679.27, None, None)","(753.053, 687.505, None, None)","(718.002, 689.519, None, None)","(680.825, 689.011, None, None)","(632.229, 687.506, None, None)","(575.146, 688.827, None, None)","(518.174, 693.926, None, None)","(485.915, 694.87, None, None)","(429.094, 688.298, None, None)","(372.273, 681.726, None, None)","(349.471, 679.889, None, None)","(292.406, 675.957, None, None)","(235.557, 669.641, None, None)","(203.344, 666.039, None, None)","(171.888, 665.574, None, None)","(118.231, 652.084, None, None)","(95.248, 613.608, None, None)","(114.66, 559.803, None, None)","(113.1, 504.052, None, None)","(96.452, 458.988, None, None)","(71.077, 407.735, None, None)","(38.717, 389.428, None, None)",,,,,,,,,,,,,,,,,
0,"(450, 375, None, None)","(450, 375, None, None)","(481.332, 363.526, None, None)","(525.139, 347.313, None, None)","(557.831, 334.068, None, None)","(570.279, 327.03, None, None)","(620.071, 298.876, None, None)","(659.119, 257.841, None, None)","(673.774, 240.271, None, None)","(717.504, 226.791, None, None)","(758.501, 214.154, None, None)","(764.405, 200.09, None, None)","(774.969, 163.711, None, None)","(778.514, 129.023, None, None)","(756.981, 105.604, None, None)","(741.93, 108.079, None, None)","(740.035, 107.864, None, None)","(726.287, 97.596, None, None)","(711.903, 72.866, None, None)","(655.036, 79.032, None, None)","(597.961, 81.954, None, None)","(540.772, 83.091, None, None)","(483.605, 81.801, None, None)","(426.56, 84.904, None, None)","(369.383, 83.543, None, None)","(312.187, 83.458, None, None)","(255.038, 84.117, None, None)","(198.154, 89.498, None, None)","(161.494, 98.405, None, None)","(153.182, 100.532, None, None)","(106.778, 121.135, None, None)","(109.592, 178.146, None, None)","(100.5, 234.405, None, None)","(89.734, 290.502, None, None)","(83.174, 347.314, None, None)","(44.321, 375.477, None, None)",,,,,,,,,,,,,,,,,,,,,,,,,
0,"(450, 375, None, None)","(450, 375, None, None)","(463.884, 378.426, None, None)","(520.12, 380.41, None, None)","(569.175, 351.33, None, None)","(609.733, 321.198, None, None)","(654.133, 303.854, None, None)","(685.551, 278.437, None, None)","(722.724, 250.147, None, None)","(739.414, 237.446, None, None)","(759.92, 189.189, None, None)","(758.003, 152.058, None, None)","(756.05, 137.892, None, None)","(748.498, 100.283, None, None)","(698.113, 97.571, None, None)","(641.144, 98.059, None, None)","(584.934, 96.034, None, None)","(569.688, 95.555, None, None)","(512.516, 93.759, None, None)","(455.344, 91.963, None, None)","(398.172, 90.167, None, None)","(344.074, 78.325, None, None)","(289.915, 79.142, None, None)","(234.235, 77.42, None, None)","(177.951, 78.219, None, None)","(168.036, 94.605, None, None)","(166.289, 98.989, None, None)","(137.063, 105.276, None, None)","(139.008, 162.443, None, None)","(140.953, 219.61, None, None)","(124.61, 240.422, None, None)","(88.222, 284.555, None, None)","(51.834, 328.688, None, None)","(46.375, 335.308, None, None)","(43.243, 356.589, None, None)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,"(450, 375, None, None)","(479.545, 375.703, None, None)","(536.016, 382.936, None, None)","(591.862, 395.305, None, None)","(618.071, 406.611, None, None)","(670.107, 430.361, None, None)","(722.143, 454.111, None, None)","(749.365, 500.408, None, None)","(784.188, 536.058, None, None)","(787.836, 582.604, None, None)","(762.913, 625.485, None, None)","(756.625, 627.72, None, None)","(756.05, 629.538, None, None)","(756.05, 629.538, None, None)","(758.902, 655.119, None, None)","(712.212, 656.599, None, None)","(655.041, 658.411, None, None)","(597.869, 660.222, None, None)","(540.698, 662.034, None, None)","(483.527, 663.846, None, None)","(426.355, 665.658, None, None)","(384.43, 666.986, None, None)","(361.551, 666.804, None, None)","(304.352, 666.349, None, None)","(247.154, 665.893, None, None)","(189.956, 665.438, None, None)","(141.171, 654.041, None, None)","(126.04, 598.878, None, None)","(110.908, 543.716, None, None)","(95.777, 488.554, None, None)","(80.646, 433.392, None, None)","(53.116, 389.989, None, None)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"(450, 375, None, None)","(475.153, 386.474, None, None)","(506.378, 400.716, None, None)","(530.226, 422.67, None, None)","(582.611, 433.474, None, None)","(639.77, 431.307, None, None)","(696.854, 427.674, None, None)","(753.939, 424.041, None, None)","(783.368, 434.279, None, None)","(777.567, 488.387, None, None)","(834.033, 497.52, None, None)","(824.081, 539.325, None, None)","(840.276, 547.411, None, None)","(810.361, 589.727, None, None)","(808.066, 621.103, None, None)","(827.807, 641.797, None, None)","(814.507, 687.291, None, None)","(774.848, 688.261, None, None)","(718.377, 693.751, None, None)","(661.841, 685.183, None, None)","(604.793, 681.073, None, None)","(547.602, 680.064, None, None)","(496.702, 667.781, None, None)","(440.563, 671.024, None, None)","(385.819, 658.065, None, None)","(353.48, 665.813, None, None)","(296.313, 663.863, None, None)","(271.541, 663.018, None, None)","(227.717, 664.64, None, None)","(207.777, 666.231, None, None)","(150.977, 672.982, None, None)","(117.884, 662.611, None, None)","(76.027, 625.166, None, None)","(62.36, 571.737, None, None)","(64.781, 517.451, None, None)","(64.972, 512.688, None, None)","(58.562, 458.728, None, None)","(59.98, 429.269, None, None)","(57.007, 395.078, None, None)","(57.007, 395.078, None, None)","(57.007, 395.078, None, None)","(57.007, 395.078, None, None)","(57.007, 395.078, None, None)","(48.487, 390.8, None, None)",,,,,,,,,,,,,,,,,
0,"(451.348, 376.348, None, None)","(491.565, 388.27, None, None)","(545.338, 407.738, None, None)","(600.076, 423.62, None, None)","(656.992, 428.394, None, None)","(714.161, 430.067, None, None)","(761.286, 461.643, None, None)","(751.79, 439.114, None, None)","(777.581, 480.33, None, None)","(777.581, 480.33, None, None)","(783.582, 501.419, None, None)","(786.414, 510.527, None, None)","(784.838, 518.647, None, None)","(793.564, 575.178, None, None)","(793.855, 577.062, None, None)","(790.007, 632.221, None, None)","(740.936, 644.54, None, None)","(724.762, 645.549, None, None)","(667.932, 651.218, None, None)","(611.364, 659.63, None, None)","(563.138, 662.125, None, None)","(506.355, 655.233, None, None)","(450.016, 652.87, None, None)","(413.779, 664.745, None, None)","(376.697, 662.051, None, None)","(365.348, 663.489, None, None)","(308.602, 670.683, None, None)","(251.466, 670.433, None, None)","(194.28, 669.2, None, None)","(185.702, 669.015, None, None)","(165.682, 651.359, None, None)","(163.799, 651.059, None, None)","(154.642, 653.71, None, None)","(120.273, 655.041, None, None)","(132.723, 605.489, None, None)","(118.053, 563.152, None, None)","(116.639, 554.69, None, None)","(105.361, 498.777, None, None)","(87.329, 447.769, None, None)","(119.659, 454.869, None, None)","(72.699, 422.211, None, None)","(25.738, 389.554, None, None)",,,,,,,,,,,,,,,,,,,
0,"(464.635, 381.962, None, None)","(516.288, 406.535, None, None)","(570.097, 425.907, None, None)","(623.981, 445.1, None, None)","(677.865, 464.293, None, None)","(729.509, 486.342, None, None)","(760.992, 534.099, None, None)","(784.805, 581.498, None, None)","(789.343, 629.013, None, None)","(763.741, 641.759, None, None)","(757.386, 653.134, None, None)","(716.79, 679.364, None, None)","(659.594, 678.672, None, None)","(602.461, 676.598, None, None)","(545.435, 672.137, None, None)","(488.407, 667.776, None, None)","(431.23, 669.382, None, None)","(374.052, 670.988, None, None)","(316.866, 671.522, None, None)","(259.67, 670.832, None, None)","(202.474, 670.141, None, None)","(151.029, 662.15, None, None)","(136.96, 606.707, None, None)","(122.891, 551.264, None, None)","(108.822, 495.821, None, None)","(94.754, 440.379, None, None)","(54.934, 404.959, None, None)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"(450, 375, None, None)","(450, 375, None, None)","(495.472, 385.699, None, None)","(551.151, 398.8, None, None)","(585.487, 406.879, None, None)","(608.736, 395.834, None, None)","(660.403, 371.289, None, None)","(712.069, 346.744, None, None)","(752.171, 306.122, None, None)","(777.927, 255.148, None, None)","(779.756, 241.927, None, None)","(784.979, 204.153, None, None)","(788.754, 162.276, None, None)","(756.015, 157.29, None, None)","(779.23, 146.172, None, None)","(768.024, 125.722, None, None)","(768.024, 125.722, None, None)","(778.561, 105.413, None, None)","(737.388, 104.225, None, None)","(712.544, 84.476, None, None)","(659.165, 85.405, None, None)","(620.435, 65.22, None, None)","(563.33, 68.519, None, None)","(520.772, 73.772, None, None)","(464.087, 80.716, None, None)","(437.481, 79.408, None, None)","(388.927, 81.951, None, None)","(343.05, 69.014, None, None)","(291.882, 74.692, None, None)","(236.547, 71.492, None, None)","(180.916, 84.752, None, None)","(156.745, 99.632, None, None)","(156.745, 99.632, None, None)","(154.512, 101.366, None, None)","(105.845, 131.421, None, None)","(97.65, 181.109, None, None)","(101.891, 218.047, None, None)","(86.288, 255.693, None, None)","(63.979, 302.223, None, None)","(55.647, 343.429, None, None)",,,,,,,,,,,,,,,,,,,,,
0,"(487.586, 415.554, None, None)","(534.066, 401.287, None, None)","(585.866, 409.411, None, None)","(627.935, 417.766, None, None)","(683.882, 429.672, None, None)","(726.652, 457.335, None, None)","(757.407, 502.012, None, None)","(774.911, 546.172, None, None)","(758.483, 580.144, None, None)","(764.625, 613.386, None, None)","(745.375, 640.325, None, None)","(695.769, 649.199, None, None)","(639.869, 658.558, None, None)","(582.734, 661.291, None, None)","(547.501, 662.976, None, None)","(493.437, 657.501, None, None)","(441.248, 653.676, None, None)","(384.863, 661.862, None, None)","(328.226, 662.508, None, None)","(271.232, 667.357, None, None)","(214.316, 668.316, None, None)","(157.689, 660.285, None, None)","(121.857, 626.086, None, None)","(130.256, 570.88, None, None)","(103.303, 522.909, None, None)","(89.381, 467.429, None, None)","(77.997, 439.911, None, None)","(51.946, 403.432, None, None)","(26.284, 396.081, None, None)","(26.284, 396.081, None, None)","(26.284, 396.081, None, None)","(26.284, 396.081, None, None)","(26.284, 396.081, None, None)","(32.936, 376.191, None, None)",,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"(462.867, 381.239, None, None)","(514.337, 406.194, None, None)","(548.65, 422.83, None, None)","(581.637, 439.981, None, None)","(627.092, 472.688, None, None)","(674.143, 501.601, None, None)","(719.902, 525.665, None, None)","(762.382, 563.938, None, None)","(778.001, 616.281, None, None)","(741.576, 657.528, None, None)","(684.969, 664.499, None, None)","(628.288, 662.518, None, None)","(571.773, 659.144, None, None)","(514.715, 663.042, None, None)","(457.522, 663.761, None, None)","(400.356, 662.909, None, None)","(343.209, 665.389, None, None)","(286.063, 667.869, None, None)","(260.347, 668.985, None, None)","(205.112, 670.282, None, None)","(158.445, 658.133, None, None)","(136.711, 605.272, None, None)","(120.068, 550.547, None, None)","(105.089, 501.294, None, None)","(95.425, 473.365, None, None)","(76.008, 419.752, None, None)","(33.717, 383.382, None, None)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
