Gender,Age,Treatment,EvacuationTime,Collisions,Clicks,RouteChoice,IndecisiveTime,"Clicks Positions (player.x, player.y, target_x, target_y)","Collision Positions (player.x, player.y, agent.x, agent.y)"
Male,23,C,40.183,4,36,B,11.219,"[(450, 375, 640, 393), (639.816760115832, 392.9826404320262, 744, 440), (680.6571097965601, 411.41367989629697, 788, 470), (765.1749446095051, 457.5423887044781, 813, 481), (807.1149761922277, 478.1134669929717, 835, 517), (834.8924662727233, 516.8500408726941, 841, 558), (840.490940018572, 554.5701708145207, 798, 585), (808.7128354467485, 577.3280173939612, 810, 597), (809.9577313385201, 596.3539999440537, 828, 646), (822.9826329611085, 632.1939643529778, 801, 641), (801.743414342381, 640.7021952187849, 801, 641), (801.743414342381, 640.7021952187849, 828, 665), (817.1368684444211, 654.9472744365178, 770, 673), (779.7453256719604, 669.2676839661058, 771, 675), (771.7721580110998, 674.4938720507665, 660, 666), (763.2168255263721, 673.8437289313162, 658, 685), (674.1030285946874, 683.2925758201658, 599, 642), (634.0042123956147, 661.2457497576, 508, 668), (539.7595129178496, 666.2975831224559, 456, 689), (456.94746969786837, 688.7431951152706, 342, 636), (412.75732407988664, 668.466720316585, 308, 689), (365.980747229436, 677.6353063179872, 262, 639), (328.4478755920602, 663.6895131654919, 223, 665), (253.14035768059392, 664.6254211694063, 146, 660), (192.18380293471336, 661.9938288839289, 146, 660), (150.27617154692047, 660.1846091876613, 109, 678), (118.76593523967962, 673.7848815327969, 119, 586), (118.99979062091667, 586.0785266351089, 116, 525), (116.7082894286058, 539.4214314255197, 112, 466), (114.2069201886575, 500.4148850129427, 115, 408), (114.5423391507886, 461.329657557664, 120, 392), (119.92904517595437, 392.90135202407447, 88, 389), (88.70129591537592, 389.085690073845, 116, 373), (115.8057502792058, 373.11446114057065, 43, 363), (79.92368822318946, 368.1295839719772, 22, 406), (48.80447766157608, 388.4752747693409, 6, 391)]","[(801.743414342381, 640.7021952187849, 802.5853980616337, 626.096857079417), (797.550822230275, 662.4484413329685, 788.3252285806942, 651.1246582714876), (766.0686030212813, 674.0604433044663, 758.8996846209743, 661.8405490231537), (87.47780655077185, 369.17903179694423, 85.80805887137049, 354.4736284816843)]"
Male,22,C,27.318,3,12,B,8.457,"[(450, 375, 675, 477), (674.8841948290595, 476.9475016558403, 766, 613), (725.810493005078, 552.9897435618188, 816, 596), (764.5327248591502, 571.455895306013, 771, 624), (770.9380301456033, 623.4965189440102, 649, 661), (756.3586796524498, 627.9805703459863, 715, 681), (756.3586796524498, 627.9805703459863, 827, 678), (773.4755097607499, 640.1005884216604, 666, 688), (694.2356149786526, 675.4160229987199, 179, 664), (517.9122240577653, 671.5092436002275, 107, 662), (156.6956011783902, 663.1500450699618, 63, 361), (78.48165979874852, 410.92533424321084, 15, 381)]","[(707.7740957344048, 526.058116220119, 711.3351928560985, 540.4302485377758), (761.0907486943438, 569.8144595954179, 775.5610451052279, 566.2230954908916), (767.2512079031862, 635.6933091214153, 779.6453792363956, 627.8876387426974)]"
Female,21,A,54.534,8,103,A,17.993,"[(450, 375, 476, 357), (475.86616634911314, 357.0926540659986, 512, 354), (511.0110085864501, 354.0846466595796, 554, 359), (547.9503278527593, 358.30828160374057, 587, 352), (586.5367460821593, 352.0748363816412, 576, 327), (576.1957865624933, 327.46592334881774, 606, 327), (605.7455093695971, 327.00397840147696, 639, 324), (638.0273993281598, 324.0878579510943, 671, 303), (670.9556020250387, 303.0283950361883, 700, 306), (699.4070768462781, 305.9393365499165, 741, 290), (707.4189157558865, 302.86902104715665, 741, 290), (715.4307546654949, 299.79870554439697, 741, 290), (740.3564757176099, 290.2466128691448, 751, 269), (744.1994071113029, 282.57534972000394, 751, 269), (750.6042927674588, 269.78991113810247, 769, 265), (757.9848653145053, 267.8681428580476, 769, 265), (766.2880094299327, 265.7061535429861, 769, 265), (768.1331525666943, 265.2257114729724, 772, 246), (769.8249591107722, 256.8141604496824, 772, 246), (771.8927226646454, 246.53337586566093, 788, 233), (778.4618149835923, 241.01400759518367, 788, 233), (785.0309073025392, 235.49463932470636, 788, 233), (787.9505038887378, 233.04158676004974, 788, 233), (787.9505038887378, 233.04158676004974, 791, 215), (789.3804634734182, 224.5815858388807, 791, 215), (790.6515386598011, 217.06158502006377, 791, 215), (790.9693074563968, 215.18158481535954, 791, 215), (790.9693074563968, 215.18158481535954, 808, 178), (794.9393221155364, 206.51420758515548, 808, 178), (807.6433690247845, 178.77860044850257, 813, 143), (808.9137737002613, 170.29317341384316, 813, 143), (810.0430223006849, 162.75057160525702, 813, 143), (812.866143801744, 143.89406708379167, 820, 117), (815.0659777193245, 135.60086922439737, 820, 117), (817.2658116369049, 127.307671365003, 820, 117), (819.4656455544849, 119.01447350560858, 820, 117), (819.9544975361694, 117.17154064796536, 820, 117), (819.9544975361694, 117.17154064796536, 820, 117), (819.9544975361694, 117.17154064796536, 832, 97), (824.8422138323481, 108.98651322879861, 832, 97), (829.2411584989089, 101.61998855154857, 832, 97), (831.6850166469985, 97.5274748419653, 832, 74), (831.8253984547114, 87.0417478416166, 832, 74), (831.927494314866, 79.41576456863572, 832, 74), (831.9913042274624, 74.64952502302268, 776, 52), (824.9211918099703, 71.7895329166585, 776, 52), (816.0835512881052, 68.21454278370341, 776, 52), (776.3141689397123, 52.12708718540584, 744, 52), (768.6875612547435, 52.09709278552866, 744, 52), (744.854412239216, 52.00336028591238, 696, 49), (736.2905794729114, 51.47689247990185, 696, 49), (727.7267467066068, 50.95042467389132, 696, 49), (720.1144509143361, 50.48245329077085, 696, 49), (710.5990811739977, 49.89748906187026, 696, 49), (702.0352484076931, 49.37102125585971, 696, 49), (696.32602656349, 49.02004271851934, 306, 41), (658.2007402603241, 48.23668110797241, 306, 41), (646.7631543693743, 48.00167262480833, 306, 41), (637.2318327935828, 47.805832222171595, 306, 41), (583.8564319691505, 46.70912596740589, 292, 45), (573.369945109198, 46.64771657211424, 292, 45), (529.5173636948513, 46.39091364634917, 272, 45), (521.8908082737145, 46.349720773535886, 272, 45), (513.3109334249356, 46.30337879162092, 272, 45), (501.87110029323037, 46.24158948240098, 272, 45), (458.01840662169377, 46.00473046372452, 216, 45), (457.0650815034351, 46.00077276975604, 214, 47), (448.4851540029605, 46.03604438153575, 214, 47), (436.0919253911638, 46.08699226521756, 214, 47), (422.74537150153657, 46.14185921687489, 214, 47), (413.2121187232314, 46.18104989663013, 214, 47), (403.67886594492626, 46.220240576385365, 214, 47), (392.2389626109601, 46.26726939209165, 214, 47), (381.7523845548244, 46.31037913982241, 214, 47), (370.3124812208582, 46.35740795552869, 214, 47), (357.9192526090615, 46.4083558392105, 214, 47), (346.47934927509533, 46.455384654916784, 214, 47), (335.99277121895966, 46.498494402647545, 214, 47), (324.5528678849935, 46.54552321835383, 214, 47), (312.1596392731968, 46.596471102035636, 214, 47), (302.6263864948916, 46.63566178179087, 214, 47), (264.493375381671, 46.79242450081182, 201, 51), (223.58975656671515, 49.50302325728657, 192, 55), (206.68380353322766, 52.44485126543285, 181, 65), (206.68380353322766, 52.44485126543285, 181, 65), (206.68380353322766, 52.44485126543285, 181, 65), (206.68380353322766, 52.44485126543285, 181, 65), (206.68380353322766, 52.44485126543285, 184, 66), (206.68380353322766, 52.44485126543285, 204, 209), (206.04652550513129, 89.61938928159258, 149, 86), (197.48374263415948, 89.07611264433254, 149, 86), (187.96953944419081, 88.47247193626576, 149, 86), (177.50391593522528, 87.8084671573923, 149, 86), (165.135451788266, 87.02373423690548, 149, 86), (149.91272668431614, 86.05790910399864, 136, 135), (147.30597269839288, 95.22792972018695, 136, 135), (144.4385433138773, 105.31495239799409, 136, 135), (136.0969305589227, 134.6590183697964, 136, 333), (136.0554654326894, 219.50567490432215, 123, 365), (129.4097114110221, 293.5681050121937, 118, 357), (118.10206709697276, 356.4325615132884, 28, 359), (28.525092505776456, 358.98503760510886, 12, 355), (12.770059016208432, 355.18570026985753, 8, 360)]","[(450, 375, 435.02878038914105, 375.7715510458641), (790.9693074563968, 215.18158481535954, 786.1518119883326, 229.26247104500194), (790.9693074563968, 215.18158481535954, 787.2499294711126, 229.3257569872136), (790.9693074563968, 215.18158481535954, 787.0649807553812, 229.61660492392804), (796.1303265132783, 203.91399441609425, 810.6971510158791, 204.8976592093462), (206.60210122193325, 57.21081767776102, 208.74468572996756, 71.72997730619676), (206.1282278164257, 84.8534228692644, 210.22162323096563, 98.92214928747197), (67.5959005721493, 357.87172356505914, 53.307025091424826, 353.655177392612)]"
Male,23,HA,28.205,0,25,B,9.573,"[(450, 375, 598, 369), (487.1494842865001, 373.49393982622246, 620, 463), (619.1851132854617, 462.45098218915786, 678, 500), (647.3089692344047, 480.4060141024543, 679, 504), (675.6021483939331, 501.4702980326368, 709, 513), (699.9330834851597, 509.86989311731406, 726, 517), (725.6805861843035, 516.9126304546061, 743, 527), (742.1564348133601, 526.5086811907253, 785, 540), (784.8942315945701, 539.9666938250497, 774, 559), (774.4755291484616, 558.1692032798077, 795, 585), (791.2730126740967, 580.1278627330581, 783, 604), (783.1566392582417, 603.5480106194146, 765, 640), (773.3806214460191, 623.174731864855, 756, 654), (761.6748829474818, 643.9353547837754, 720, 664), (738.4828739355739, 655.1012993471194, 643, 657), (643.1683835152526, 656.9966516519961, 543, 655), (611.7146315380118, 656.3696855011715, 412, 664), (565.9879930704932, 658.1167214083291, 299, 677), (477.5489173437392, 664.3717581466174, 205, 684), (293.0800054613142, 677.6567143010845, 118, 684), (262.5933416915146, 678.761270002856, 93, 683), (150.1351277745543, 681.5719935843416, 88, 423), (133.65191744512043, 612.9780000060883, 55, 401), (95.84596897217035, 511.0856418036235, 104, 381), (101.1539122496583, 426.4051683601677, 12, 381)]",[]
Male,23,H,52.816,1,32,B,27.692,"[(450, 375, 112, 377), (396.6142679165896, 375.31589190581826, 112, 377), (354.66833556533857, 375.5640926889612, 112, 377), (234.55043837766516, 376.27484947705324, 384, 285), (361.47145655436594, 298.75908627376083, 463, 317), (462.80892196460564, 316.9656703638177, 581, 390), (577.1584975722473, 387.6262036080027, 647, 382), (646.5271149457989, 382.0380940773843, 752, 394), (751.6730653555447, 393.9629216413507, 736, 426), (736.1722841881274, 425.64783646914105, 751, 453), (750.711161838232, 452.46719044693947, 768, 493), (767.9165614672363, 492.80438256600854, 780, 515), (779.7681218205154, 514.5740716229759, 788, 544), (787.986797727807, 543.9528067462254, 792, 579), (791.8912157829492, 578.0499902024978, 801, 600), (800.6608103779447, 599.1826334503141, 766, 622), (766.420722597474, 621.7230364317043, 777, 665), (776.1551192317462, 661.5438212047882, 694, 664), (694.2050687347429, 663.9938690919988, 694, 664), (694.2050687347429, 663.9938690919988, 578, 663), (628.4274744724447, 663.4312919290986, 524, 658), (546.5514727255535, 659.1729061956385, 476, 696), (487.3927743205069, 690.0530969463194, 384, 670), (384.44452780090774, 670.0862164609231, 275, 678), (275.09668642452243, 677.9930087373922, 169, 656), (169.61251218259028, 656.1269689585739, 120, 654), (120.08467344699484, 654.0036300881662, 111, 477), (111.63097474969007, 489.29376287884884, 129, 418), (125.62168887296984, 431.8667834809653, 124, 393), (124.03198585344802, 393.7666003393988, 53, 384), (53.19840874103892, 384.0272803703048, 30, 380), (30.655579572773718, 380.11380964850116, 12, 369)]","[(791.901718155034, 604.9487830502047, 777.9850883690231, 599.5828821686773)]"
Female,23,C,47.308,7,27,A,21.326,"[(450, 375, 492, 373), (491.8991888170822, 373.0048005325199, 592, 374), (518.5912030261885, 373.2701717918827, 623, 374), (622.5019977700658, 373.9965189132942, 748, 303), (747.7955256473018, 303.1156748871749, 773, 265), (772.5097925891772, 265.74132021309964, 791, 242), (790.6689169076953, 242.4251087906643, 782, 218), (782.059493801614, 218.1676267741711, 796, 187), (795.6829418279887, 187.70886599312269, 810, 136), (809.9285823531309, 136.2579388507844, 784, 98), (784.2560859602177, 98.37785795124154, 731, 95), (731.9279037217817, 95.0588538738455, 681, 92), (681.4921285852397, 92.02955844084245, 625, 77), (628.9788286591269, 78.05855522452515, 579, 96), (579.6289573683279, 95.77421631933498, 496, 96), (496.6892596441359, 95.99813911850292, 413, 100), (418.6051477353581, 99.73197251890478, 368, 97), (368.1519503624547, 97.00820320131531, 232, 102), (289.07841143934775, 99.90730995231131, 180, 77), (180.85255176870305, 77.17904246457542, 121, 51), (153.77597746031276, 65.3359586249114, 145, 136), (145.08137287034293, 135.34478684537123, 109, 338), (137.56157816178967, 177.58058549463559, 118, 362), (121.77412117301446, 326.4189639893583, 99, 379), (104.3447939127188, 366.65990577379034, 68, 370), (68.27014386300583, 369.9751737220126, 24, 362), (24.17330733047444, 362.03122095270595, 10, 373)]","[(450, 375, 455.79929571786, 362.3881330819981), (783.9726989362986, 223.55817833339185, 776.6029278722395, 210.86205572148833), (782.059493801614, 218.1676267741711, 768.4926666626361, 212.03281916683292), (795.6829418279887, 187.70886599312269, 783.1361560139189, 195.86813365359316), (775.693292503019, 97.83474819312217, 761.614468751943, 98.96730625430546), (595.7798243362257, 89.97636359739715, 594.9012544956935, 104.74555103085517), (24.17330733047444, 362.03122095270595, 37.18531671422048, 369.434215689806)]"
Male,20,C,36.228,4,17,B,15.032,"[(450, 375, 726, 390), (559.4717798971033, 380.9495532552779, 732, 411), (731.3441589239096, 410.8857675728741, 779, 452), (778.2629350297321, 451.3641102576891, 788, 501), (787.9893611103791, 500.94576694786224, 788, 541), (787.9997430022781, 540.0324322357501, 792, 598), (791.9376658639173, 597.0967184709748, 774, 623), (774.0271984323322, 622.9607235046526, 729, 665), (729.4299432568617, 664.5985869856042, 642, 673), (642.1254301102857, 672.9879470336855, 481, 674), (481.96858940048367, 673.9939161448616, 250, 671), (272.2527224956692, 671.287206062333, 134, 669), (134.99150490673023, 669.016403120261, 116, 562), (116.16806257124338, 562.9470261552173, 102, 460), (105.63991344000812, 486.4480949478457, 97, 404), (97.79064731002534, 411.5449094414957, 62, 393), (62.23959770741506, 393.12414745528105, 12, 375)]","[(787.997970484149, 533.359099137818, 773.4726783669555, 536.6511310064355), (767.755709423282, 628.8160480566614, 757.1107222149709, 639.0490584938361), (67.31831907921655, 395.75568488188304, 54.03149195481779, 402.03826683798184), (50.58167121066796, 388.9185011425781, 39.83958023549551, 378.79036118743016)]"
Female,25,A,27.928,2,18,B,9.378,"[(450, 375, 490, 410), (489.4601046924643, 409.52759160590625, 554, 427), (553.874677330449, 426.96607232080254, 683, 485), (610.3952775336438, 452.3686220048117, 746, 486), (668.6892239853598, 466.82612549209193, 746, 524), (710.8467449692172, 498.0030058514238, 769, 495), (753.689659697081, 495.7906185387667, 734, 534), (735.7853235683637, 530.5354348269692, 761, 558), (760.929796485666, 557.9235322729589, 781, 620), (777.0601201563104, 607.8140835098889, 811, 664), (793.3265494134735, 634.74241207335, 721, 648), (775.5100563831495, 638.0082076188254, 746, 683), (758.255785491482, 664.3145136308253, 669, 696), (730.4052889301136, 674.2013408466847, 589, 640), (689.6342246067054, 664.3401462749875, 434, 643), (619.3320927175237, 658.4713789756695, 125, 668), (142.75395519804508, 667.6577792272491, 117, 354), (122.93835106194555, 426.32326033179436, 12, 375)]","[(773.418629608402, 641.1968507717951, 767.2647235522699, 654.8456949296798), (765.0529225094117, 653.9514233836738, 773.5500156723364, 666.2452574075687)]"
Male,35,HA,61.116,8,32,A,25.377,"[(450, 375, 533, 380), (532.7899148276225, 379.9873442667243, 566, 361), (565.894559499398, 361.06028394911345, 620, 337), (619.9019407921115, 337.043606194937, 643, 308), (642.4510188360616, 308.6902914478815, 671, 290), (670.3673079230563, 290.41420740190125, 700, 259), (699.8044020110253, 259.20735732606033, 725, 254), (724.0780591451066, 254.19054421597866, 725, 254), (724.0780591451066, 254.19054421597866, 744, 254), (743.1438537580702, 254.00818864565554, 779, 255), (778.4037006208483, 254.98350585445405, 775, 229), (775.0604602959438, 229.4615477765567, 781, 201), (780.9030268688142, 201.46468338352898, 788, 154), (787.9518426363845, 154.32207731019113, 774, 121), (774.3289177627892, 121.7855753111616, 773, 97), (773.0528887654483, 97.98642558316236, 739, 98), (739.686224749827, 97.99972645196527, 627, 92), (627.3520008310647, 92.01874149836807, 496, 85), (496.9313935823833, 85.04976864262916, 391, 90), (391.22674655855946, 89.98940401059215, 283, 81), (283.8697767091841, 81.07224438030786, 194, 77), (194.3483009180235, 77.01578246333767, 144, 89), (144.26745867138382, 88.93633781395823, 108, 81), (108.87820420953173, 81.19217572809929, 84, 147), (89.66260906619098, 132.02126684024884, 84, 147), (84.26875779788485, 146.2890818892735, 54, 212), (54.354467733375614, 211.23048047243066, 56, 264), (55.98872219199603, 263.63833920381626, 52, 313), (52.07269498628827, 312.10037724313173, 48, 350), (48.10020135762872, 349.067547737643, 48, 350), (48.10020135762872, 349.067547737643, 46, 359), (46.12799996776916, 358.39465158193883, 11, 373)]","[(778.4037006208483, 254.98350585445405, 767.6975926050387, 264.92295947467), (778.4037006208483, 254.98350585445405, 766.6950071905965, 263.58901724569097), (778.4037006208483, 254.98350585445405, 764.0332464590764, 257.16318903573006), (778.4037006208483, 254.98350585445405, 763.9100018516702, 256.5702223462539), (783.7225531758421, 182.60764095419384, 790.9556364021522, 169.494504331272), (787.9518426363845, 154.32207731019113, 792.0064481527793, 168.6579702375241), (787.9518426363845, 154.32207731019113, 792.9176435365642, 167.67759803184927), (739.686224749827, 97.99972645196527, 754.257743868131, 101.26443053123718)]"
Male,18,H,43.719,2,27,B,18.009,"[(450, 375, 539, 358), (529.5943301596179, 359.79658862119675, 628, 381), (627.4485582586294, 380.88118117469566, 732, 421), (715.5640286983514, 414.6931357053897, 754, 453), (753.377557408939, 452.37964820298583, 746, 481), (746.238612536568, 480.0743311964639, 780, 493), (779.1802294395561, 492.6861478880078, 796, 525), (795.9064685042623, 524.8203089090771, 808, 566), (807.7260845716686, 565.0672904165585, 799, 601), (799.1770864107813, 600.2707846781088, 774, 627), (774.3380537436375, 626.6411057595533, 807, 627), (806.7494304716403, 626.9972467053906, 802, 645), (802.1289151189989, 644.5113462346403, 796, 680), (796.1260476208021, 679.270138305762, 740, 690), (740.8798800136005, 689.8317894942961, 680, 689), (680.8254849904141, 689.0112784345596, 519, 684), (600.7838543970587, 686.5326150937193, 495, 696), (495.38512351968484, 695.9655324281943, 366, 681), (366.5904835433571, 681.068299201454, 264, 674), (291.4552710521991, 675.8916186350945, 203, 666), (203.3444767223611, 666.038521529873, 133, 665), (140.43133253174955, 665.109711510974, 84, 632), (87.80716822677667, 634.2337633369087, 120, 545), (119.83599209235359, 545.4546056376585, 110, 485), (110.03793206527301, 485.23314049315724, 83, 433), (83.30474190080903, 433.5887146428463, 66, 397), (66.18578465005912, 397.392818430058, 20, 384)]","[(788.0648875860064, 612.0680335829658, 773.8690343734597, 608.556557121807), (203.3444767223611, 666.038521529873, 211.60353541788032, 653.9494912975172)]"
Male,23,A,36.009,6,34,A,12.935,"[(450, 375, 521, 349), (520.7206302389816, 349.10230441952785, 558, 334), (557.8310659032653, 334.06843715899925, 634, 291), (629.1990153953171, 293.7146356477238, 674, 240), (673.7743537927099, 240.27054101415013, 759, 214), (758.5005023285939, 214.15396860742166, 772, 182), (771.7859966890312, 182.50972679949047, 780, 134), (779.9031289454346, 134.57209477691254, 772, 103), (772.0322692515324, 103.12891196319782, 712, 113), (741.9298302420498, 108.07864698554152, 674, 97), (741.9298302420498, 108.07864698554152, 600, 92), (740.0352818447025, 107.86402138621528, 688, 69), (724.7590887479257, 96.45456468364702, 732, 70), (731.8061456906498, 70.70824391949807, 600, 85), (691.9994672639925, 75.02448680383229, 600, 85), (635.1327837973392, 81.19054806716655, 547, 83), (575.0854380699416, 82.42337858841505, 494, 84), (525.521473108216, 83.38709797208917, 436, 80), (483.604798243707, 81.80115574503621, 325, 95), (440.8525789957209, 85.35892883675058, 241, 79), (380.8229580425772, 83.44890050658663, 192, 85), (336.0178030576973, 83.81695560920659, 149, 81), (272.1517142474129, 82.85497266335464, 121, 94), (207.50055414536155, 87.62196422723326, 91, 111), (163.56966262289993, 96.437527046447, 106, 151), (161.49384831308612, 98.40490981326491, 89, 195), (161.49384831308612, 98.40490981326491, 81, 119), (106.07893544173453, 112.58332409203683, 116, 234), (110.5043562053781, 166.7428223454804, 104, 248), (107.15737620797344, 208.55574581827048, 80, 314), (94.55538686278807, 257.4856335045128, 79, 364), (87.39167381026876, 306.53863130361736, 80, 378), (81.50653683095291, 363.4350737471879, 18, 384), (44.32094917956931, 375.4766509749582, 18, 384)]","[(732.0805205270817, 222.29784602457391, 746.6188442128374, 224.8651773400774), (762.1909174287155, 205.3639014385519, 758.2944922353286, 191.24907444215438), (774.8100263531818, 164.6506089871575, 785.2366802951824, 154.1738521535254), (773.4212444916328, 108.67770893032393, 775.8521791716081, 94.17267083479835), (747.5740375563278, 107.15057166885208, 733.9444819422683, 113.40086479473518), (82.97782107578185, 349.2109631362953, 85.93142543871174, 363.8813670592933)]"
Male,23,HA,35.122,5,28,A,11.715,"[(450, 375, 527, 394), (487.9484496236128, 384.3639031538782, 556, 376), (522.0121353959616, 380.1772921613548, 575, 348), (567.6440653218001, 352.46694844242217, 610, 321), (609.7333929019765, 321.19806697388753, 664, 300), (663.0126955353426, 300.3856689644816, 686, 278), (685.5512649906387, 278.4369904869786, 740, 237), (739.4141541291546, 237.44584488093034, 760, 189), (759.9198920636586, 189.18852257430052, 758, 152), (758.002992781116, 152.0579705027164, 750, 94), (756.0502759779922, 137.8919231680929, 768, 102), (766.2892820514398, 107.13827407720169, 727, 92), (727.1475683776033, 92.05685852295196, 659, 105), (686.8741848027739, 99.70590769342478, 584, 96), (584.933641129141, 96.03363319816351, 170, 83), (361.0107500100106, 88.99990891498113, 315, 60), (331.9766282506615, 70.70012275056543, 181, 101), (261.87446122427025, 84.76910203848868, 180, 63), (217.65094406635615, 73.01078029668886, 172, 79), (172.2797512693263, 78.96329776199502, 137, 209), (167.28732483934675, 97.36475031659006, 111, 189), (166.28937831339954, 98.98939812738709, 98, 168), (166.28937831339954, 98.98939812738709, 99, 83), (136.6091377149687, 91.93673698918106, 141, 221), (140.98510972021236, 220.56232102676344, 12, 377), (46.375399413096076, 335.3083062097058, 30, 361), (46.375399413096076, 335.3083062097058, 44, 357), (44.09231415162366, 356.1570047973864, 11, 373)]","[(737.1382574049918, 239.1778651178055, 741.3383700159147, 224.85951114019144), (749.4806072970022, 213.75588665767586, 763.1561488259892, 207.98999093853035), (757.3100708719948, 195.33036359514438, 743.1941044777047, 191.65095610785667), (759.9198920636586, 189.18852257430052, 747.9236250190871, 197.73870734468213), (759.9198920636586, 189.18852257430052, 747.4188934396732, 197.4676133802818)]"
Male,23,H,32.054,3,17,B,9.99,"[(450, 375, 534, 377), (506.2307305091962, 376.33882691688615, 595, 396), (594.6544978487992, 395.9234760223407, 746, 465), (728.2141556714222, 456.8822542806814, 764, 533), (748.4945788707975, 500.01942555981464, 818, 531), (782.4538842320926, 515.1560691566775, 788, 582), (787.9718627253324, 581.6608786904718, 779, 644), (782.675478334096, 618.461703577697, 708, 645), (756.6249533593694, 627.7195827256926, 728, 647), (756.6249533593694, 627.7195827256926, 748, 655), (756.0501851426924, 629.537553923175, 748, 655), (756.0501851426924, 629.537553923175, 759, 656), (758.9018053359492, 655.119107086997, 384, 667), (723.6461711618069, 656.2363820860539, 384, 667), (384.4297991078972, 666.9863793742726, 135, 665), (144.19741678196692, 665.0732452940972, 66, 380), (70.30585755141604, 395.69725492823886, 14, 377)]","[(743.6272773029474, 489.66650445282266, 742.4542557380709, 504.53065057244635), (761.5558501636033, 505.84121155860805, 758.7358356545699, 520.5242705150814), (782.9268538172275, 520.8564814024313, 769.2905295713443, 526.766928191468)]"
Female,23,A,44.104,6,35,B,13.901,"[(450, 375, 507, 401), (506.37845369256297, 400.71648764923924, 561, 451), (543.5518467245812, 434.9375761025827, 702, 429), (638.8183146192274, 431.3676266178093, 786, 422), (785.3351852354418, 422.0423132570352, 772, 505), (774.7439766844976, 487.92982405542546, 837, 498), (834.9744495751432, 497.67235862368614, 811, 547), (814.5546592679037, 539.686257215934, 859, 538), (853.6132247094935, 538.2043743743351, 809, 569), (812.0311771701632, 566.907638420104, 808, 622), (808.0656528415333, 621.1027509008359, 828, 642), (827.8065080273223, 641.7971616567329, 821, 689), (821.1395409358877, 688.0322896538813, 794, 685), (794.6112768354017, 685.0682977073203, 696, 701), (729.6733177842477, 695.5597167853248, 645, 682), (667.544925826827, 685.6103794814892, 606, 681), (607.6527370622686, 681.1238078515461, 544, 680), (544.7425411493554, 680.0131097830549, 474, 662), (481.9204581119356, 664.0167791428524, 423, 674), (432.1038099878537, 672.4574908501631, 378, 655), (386.74017155948087, 657.8201611875902, 356, 666), (356.33810583232156, 665.9100313671128, 271, 663), (292.50187646877464, 663.7332144809831, 271, 663), (271.5407265285055, 663.0184387870299, 218, 665), (218.1905859693868, 664.9929463459098, 218, 665), (218.1905859693868, 664.9929463459098, 134, 675), (168.0171055171627, 670.9566619456613, 134, 675), (134.88367502984488, 674.8949647002141, 52, 615), (82.34043565653167, 636.925177931394, 55, 586), (61.146184692701176, 597.448081991343, 64, 537), (63.97852354054562, 537.4549035737043, 65, 512), (64.97238451132243, 512.6881701432492, 58, 454), (58.1117875656067, 454.9409417480593, 60, 429), (59.98042997011391, 429.2688601113073, 57, 395), (57.00677761075829, 395.07792868723436, 23, 378)]","[(450, 375, 444.3421913556066, 388.88737505208616), (450, 375, 445.27730605460863, 389.0141923711502), (59.772803036279775, 432.12131362650194, 46.03072056969794, 426.8259359131608), (57.00677761075829, 395.07792868723436, 68.20860056219048, 385.1185644854573), (57.00677761075829, 395.07792868723436, 71.92735799814609, 396.1887045290622), (57.00677761075829, 395.07792868723436, 71.90504475901385, 394.70887556305024)]"
